Order ID,Order Date,Customer ID,Customer Name,Region,Category,Product Name,Quantity Sold,Sales Amount,Discount,Profit
ORD0001,03-05-2024,CUST1121,Customer 1,Mumbai,Grocery,Bread,7,572.53,0.02,61.77
ORD0002,08-08-2024,CUST7993,Customer 2,Bhavnagar,Sports,Tennis Racket,4,188.17,0.17,52.44
ORD0003,01-08-2024,CUST7996,Customer 3,Ahmedabad,Sports,Basketball,2,62.85,0.28,7.84
ORD0004,17-05-2024,CUST2826,Customer 4,Ahmedabad,Clothing,Shoes,10,94.13,0.11,23.68
ORD0005,17-09-2024,CUST2945,Customer 5,Ahmedabad,Clothing,Jacket,1,71.38,0.21,19.81
ORD0006,24-04-2024,CUST9419,Customer 6,Bhavnagar,Clothing,Jeans,3,45.87,0.28,7.46
ORD0007,08-07-2024,CUST8049,Customer 7,Ahmedabad,Grocery,Eggs,5,137.07,0.06,24.22
ORD0008,22-09-2024,CUST1879,Customer 8,Bhavnagar,Sports,Bicycle,2,17.49,0.15,5.24
ORD0009,18-07-2024,CUST7208,Customer 9,Ahmedabad,Clothing,Jeans,6,271.44,0.28,44.17
ORD0010,29-07-2024,CUST3274,Customer 10,Mumbai,Grocery,Vegetables,2,123.22,0.27,15.17
ORD0011,18-09-2024,CUST7930,Customer 11,Bhavnagar,Clothing,Hat,7,221.93,0.05,61.9
ORD0012,23-09-2024,CUST9453,Customer 12,Surat,Electronics,Smartphone,5,213.94,0.2,27.11
ORD0013,16-05-2024,CUST7863,Customer 13,Bhavnagar,Home & Kitchen,Toaster,9,225.06,0.24,40.42
ORD0014,16-07-2024,CUST3502,Customer 14,Mumbai,Grocery,Eggs,10,770.33,0.12,229.83
ORD0015,26-07-2024,CUST9941,Customer 15,Ahmedabad,Sports,Yoga Mat,3,195.51,0.26,27.98
ORD0016,26-06-2024,CUST7842,Customer 16,Surat,Sports,Tennis Racket,9,246.39,0.24,31.37
ORD0017,29-04-2024,CUST7206,Customer 17,Ahmedabad,Clothing,Jacket,8,371.18,0.29,86.69
ORD0018,10-06-2024,CUST7374,Customer 18,Bhavnagar,Home & Kitchen,Cookware,2,36.64,0.17,6.81
ORD0019,17-04-2024,CUST5800,Customer 19,Mumbai,Electronics,Headphones,5,165.01,0.24,43.33
ORD0020,27-08-2024,CUST2692,Customer 20,Ahmedabad,Electronics,Headphones,2,137.17,0.02,16.12
ORD0021,26-04-2024,CUST3025,Customer 21,Surat,Home & Kitchen,Vacuum Cleaner,3,180.44,0.1,44.48
ORD0022,05-10-2024,CUST3959,Customer 22,Bhavnagar,Electronics,Camera,1,20.86,0.1,5.02
ORD0023,16-07-2024,CUST6481,Customer 23,Bhavnagar,Electronics,Headphones,7,285.54,0.08,36.9
ORD0024,25-09-2024,CUST6453,Customer 24,Mumbai,Home & Kitchen,Cookware,5,270.41,0.07,37.65
ORD0025,17-09-2024,CUST4019,Customer 25,Ahmedabad,Electronics,Laptop,8,493.92,0.22,77.41
ORD0026,19-06-2024,CUST5472,Customer 26,Bhavnagar,Clothing,Jeans,5,389.6,0.11,78.23
ORD0027,20-04-2024,CUST5335,Customer 27,Mumbai,Home & Kitchen,Cookware,1,8.5,0.21,2.08
ORD0028,12-09-2024,CUST6070,Customer 28,Surat,Electronics,Laptop,2,25.91,0.22,5.44
